Adolf Hitler
Joseph Stalin
Mao Zedong
Benito Mussolini
Pol Pot
Kim Jong-il
Saddam Hussein
Robert Mugabe
Kim Jong-un
Fidel Castro
Chiang Kai-shek
Idi Amin
Bashar al-Assad
Ferdinand Marcos
Vladimir Putin
Kim II-sung
Francisco Franco
Ho Chi Minh
Muammar al-Gaddafi
Nikita Khrushchev
Hun Sen
Hideki Tojo
Pervez Musharraf
Mobutu Sese Seko
Jean-Claude Duvalier
Augusto Pinochet
Suharto
François Duvalier
Ruhollah Khomeini
Wojciech Jaruzelski
Anastasio Somoza Debayle
Leonid Brezhnev
Ante Pavelić
Mengistu Haile Mariam
Omar al-Bashir
Nicolae Ceaușescu
JuvŽnal Habyarimana
Anastasio Somoza García
Ziaur Rahman
Pedro Eugenio Aramburu
Ion Antonescu
Yahya Khan
Hafez al-Assad
Hu Jintao
Sani Abacha
Teodoro Obiang Nguema Mbasogo
Than Shwe
António de Oliveira Salazar
Mahathir Mohamad
Slobodan Milošević
Gustavo Rojas Pinilla
Plaek Phibunsongkhram
Getœlio Vargas
Leopoldo Galtieri
Fulgencio Batista
Jorge Rafael Videla
Ne Win
Jean Kambanda
Manuel Noriega
Saparmurat Niyazov
Islam Karimov
Park Chung-hee
Thanom Kittikachorn
Ayub Khan
Anand Panyarachun
Georgios Papadopoulos
Ioannis Metaxas
Emilio Aguinaldo
Lon Nol
Ibrahim Babangida
Miklós Horthy
Roberto Eduardo Viola
Juan Carlos Onganía
Reynaldo Bignone
Thaksin Shinawatra
Josefa Iloilo
Sarit Thanarat
Artur da Costa e Silva
Gabriel París Gordillo
Thawan Thamrongnawasawat
Kriangsak Chamanan
Pote Sarasin
Moussa Dadis Camara
Daniel arap Moi
Antonio López de Santa Anna
Prem Tinsulanonda
Chatichai Choonhavan
Surayud Chulanont
M‡rcio Melo
Phraya Phahonphon Phayuhasena
Sonthi Boonyaratglin
Chaovarat Chanweerakul
Humberto de Alencar Castelo Branco
Abdullah of Saudi Arabia
Katō Tomosaburō
Emílio Garrastazu MŽdici
Eduardo Lonardi
Khuang Aphaiwong
Thanin Kraivichien
Ernest Shonekan
Askar Akayev
Jerry Rawlings
Jo‹o Figueiredo
Yamamoto Gonnohyōe
Tito Okello
Emilio Eduardo Massera
Suchinda Kraprayoon
Aman Andom
Hussain Muhammad Ershad
Frank Bainimarama
Mohamed Ould Abdel Aziz
Chalit Pukbhasuk
Kurmanbek Bakiyev
Roberto M. Levingston
Tafari Benti
Julius Caesar
Abu Bakr al-Baghdadi
Enver Hoxha
Francisco Macías Nguema
Puyi
Fumimaro Konoe
Gurbanguly Berdimuhamedow
Horia Sima
Zhang Jinghui
Isaias Afwerki
Kantaro Suzuki
Khorloogiin Choibalsan
Kuniaki Koiso
Zheng Xiaoxu
Ramiz Alia
Hirohito
